bin_left,bin_right,center,count,probability,scaled_payoff
53.1020296178,53.8518455152,53.4769375665,0,0.000000000000,0.000000000000
53.8518455152,54.6016614126,54.2267534639,0,0.000000000000,0.000000000000
54.6016614126,55.3514773100,54.9765693613,0,0.000000000000,0.000000000000
55.3514773100,56.1012932074,55.7263852587,0,0.000000000000,0.000000000000
56.1012932074,56.8511091048,56.4762011561,0,0.000000000000,0.000000000000
56.8511091048,57.6009250023,57.2260170536,0,0.000000000000,0.000000000000
57.6009250023,58.3507408997,57.9758329510,0,0.000000000000,0.000000000000
58.3507408997,59.1005567971,58.7256488484,1,0.000005002676,0.000000000000
59.1005567971,59.8503726945,59.4754647458,0,0.000000000000,0.000000000000
59.8503726945,60.6001885919,60.2252806432,1,0.000005002676,0.000000000000
60.6001885919,61.3500044894,60.9750965406,2,0.000010005353,0.000000000000
61.3500044894,62.0998203868,61.7249124381,1,0.000005002676,0.000000000000
62.0998203868,62.8496362842,62.4747283355,0,0.000000000000,0.000000000000
62.8496362842,63.5994521816,63.2245442329,3,0.000015008029,0.000000000000
63.5994521816,64.3492680790,63.9743601303,9,0.000045024088,0.000000000000
64.3492680790,65.0990839764,64.7241760277,3,0.000015008029,0.000000000000
65.0990839764,65.8488998739,65.4739919251,6,0.000030016059,0.000000000000
65.8488998739,66.5987157713,66.2238078226,8,0.000040021411,0.000000000000
66.5987157713,67.3485316687,66.9736237200,11,0.000055029441,0.000000000000
67.3485316687,68.0983475661,67.7234396174,24,0.000120064234,0.000000000000
68.0983475661,68.8481634635,68.4732555148,16,0.000080042823,0.000000000000
68.8481634635,69.5979793609,69.2230714122,41,0.000205109734,0.000000000000
69.5979793609,70.3477952584,69.9728873097,48,0.000240128469,0.000000000000
70.3477952584,71.0976111558,70.7227032071,67,0.000335179321,0.000000000000
71.0976111558,71.8474270532,71.4725191045,88,0.000440235526,0.000000000000
71.8474270532,72.5972429506,72.2223350019,122,0.000610326525,0.000000000000
72.5972429506,73.3470588480,72.9721508993,173,0.000865463023,0.000000000000
73.3470588480,74.0968747454,73.7219667967,194,0.000970519228,0.000000000000
74.0968747454,74.8466906429,74.4717826942,246,0.001230658402,0.000000000000
74.8466906429,75.5965065403,75.2215985916,300,0.001500802930,0.000000000000
75.5965065403,76.3463224377,75.9714144890,400,0.002001070573,0.000000000000
76.3463224377,77.0961383351,76.7212303864,461,0.002306233835,0.000000000000
77.0961383351,77.8459542325,77.4710462838,530,0.002651418509,0.000000000000
77.8459542325,78.5957701300,78.2208621812,674,0.003371803915,0.000000000000
78.5957701300,79.3455860274,78.9706780787,786,0.003932103675,0.000000000000
79.3455860274,80.0954019248,79.7204939761,892,0.004462387377,0.000000000000
80.0954019248,80.8452178222,80.4703098735,1075,0.005377877164,0.000000000000
80.8452178222,81.5950337196,81.2201257709,1186,0.005933174248,0.000000000000
81.5950337196,82.3448496170,81.9699416683,1450,0.007253880826,0.000000000000
82.3448496170,83.0946655145,82.7197575657,1600,0.008004282291,0.000000000000
83.0946655145,83.8444814119,83.4695734632,1776,0.008884753343,0.000000000000
83.8444814119,84.5942973093,84.2193893606,2046,0.010235475980,0.000000000000
84.5942973093,85.3441132067,84.9692052580,2258,0.011296043383,0.000000000000
85.3441132067,86.0939291041,85.7190211554,2484,0.012426648257,0.000000000000
86.0939291041,86.8437450015,86.4688370528,2621,0.013112014928,0.000000000000
86.8437450015,87.5935608990,87.2186529503,2912,0.014567793770,0.000000000000
87.5935608990,88.3433767964,87.9684688477,3117,0.015593342438,0.000000000000
88.3433767964,89.0931926938,88.7182847451,3434,0.017179190867,0.000000000000
89.0931926938,89.8430085912,89.4681006425,3564,0.017829538803,0.000000000000
89.8430085912,90.5928244886,90.2179165399,3940,0.019710545142,0.000000000000
90.5928244886,91.3426403860,90.9677324373,4020,0.020110759256,0.000000000000
91.3426403860,92.0924562835,91.7175483348,4193,0.020976222279,0.000000000000
92.0924562835,92.8422721809,92.4673642322,4508,0.022552065355,0.000000000000
92.8422721809,93.5920880783,93.2171801296,4468,0.022351958298,0.000000000000
93.5920880783,94.3419039757,93.9669960270,4698,0.023502573877,0.000000000000
94.3419039757,95.0917198731,94.7168119244,4696,0.023492568524,0.000000000000
95.0917198731,95.8415357706,95.4666278218,4857,0.024297999430,0.000000000000
95.8415357706,96.5913516680,96.2164437193,5008,0.025053403571,0.000000000000
96.5913516680,97.3411675654,96.9662596167,5087,0.025448615009,0.000000000000
97.3411675654,98.0909834628,97.7160755141,5153,0.025778791654,0.000000000000
98.0909834628,98.8407993602,98.4658914115,5082,0.025423601627,0.000000000000
98.8407993602,99.5906152576,99.2157073089,5142,0.025723762213,0.000000000000
99.5906152576,100.3404311551,99.9655232064,5120,0.025613703331,0.000000000000
100.3404311551,101.0902470525,100.7153391038,4949,0.024758245661,0.014687615333
101.0902470525,101.8400629499,101.4651550012,4967,0.024848293837,0.030083121343
101.8400629499,102.5898788473,102.2149708986,4972,0.024873307219,0.045478627353
102.5898788473,103.3396947447,102.9647867960,4785,0.023937806727,0.060874133364
103.3396947447,104.0895106421,103.7146026934,4728,0.023652654170,0.076269639374
104.0895106421,104.8393265396,104.4644185909,4453,0.022276918151,0.091665145385
104.8393265396,105.5891424370,105.2142344883,4404,0.022031787006,0.107060651395
105.5891424370,106.3389583344,105.9640503857,4185,0.020936200867,0.122456157406
106.3389583344,107.0887742318,106.7138662831,4172,0.020871166074,0.137851663416
107.0887742318,107.8385901292,107.4636821805,4006,0.020040721786,0.153247169426
107.8385901292,108.5884060267,108.2134980779,3742,0.018720015208,0.168642675437
108.5884060267,109.3382219241,108.9633139754,3571,0.017864557538,0.184038181447
109.3382219241,110.0880378215,109.7131298728,3335,0.016683925900,0.199433687458
110.0880378215,110.8378537189,110.4629457702,3284,0.016428789402,0.214829193468
110.8378537189,111.5876696163,111.2127616676,3116,0.015588339762,0.230224699479
111.5876696163,112.3374855137,111.9625775650,2860,0.014307654595,0.245620205489
112.3374855137,113.0873014112,112.7123934624,2758,0.013797381599,0.261015711499
113.0873014112,113.8371173086,113.4622093599,2490,0.012456664315,0.276411217510
113.8371173086,114.5869332060,114.2120252573,2355,0.011781302997,0.291806723520
114.5869332060,115.3367491034,114.9618411547,2243,0.011221003237,0.307202229531
115.3367491034,116.0865650008,115.7116570521,2023,0.010120414422,0.322597735541
116.0865650008,116.8363808982,116.4614729495,1970,0.009855272571,0.337993241552
116.8363808982,117.5861967957,117.2112888470,1866,0.009334994222,0.353388747562
117.5861967957,118.3360126931,117.9611047444,1553,0.007769156499,0.368784253572
118.3360126931,119.0858285905,118.7109206418,1529,0.007649092264,0.384179759583
119.0858285905,119.8356444879,119.4607365392,1383,0.006918701505,0.399575265593
119.8356444879,120.5854603853,120.2105524366,1277,0.006388417804,0.414970771604
120.5854603853,121.3352762827,120.9603683340,1158,0.005793099308,0.430366277614
121.3352762827,122.0850921802,121.7101842315,1087,0.005437909281,0.445761783625
122.0850921802,122.8349080776,122.4600001289,1032,0.005162762078,0.461157289635
122.8349080776,123.5847239750,123.2098160263,951,0.004757545287,0.476552795645
123.5847239750,124.3345398724,123.9596319237,827,0.004137213409,0.491948301656
124.3345398724,125.0843557698,124.7094478211,738,0.003691975207,0.507343807666
125.0843557698,125.8341716673,125.4592637185,691,0.003456849414,0.522739313677
125.8341716673,126.5839875647,126.2090796160,588,0.002941573742,0.538134819687
126.5839875647,127.3338034621,126.9588955134,562,0.002811504155,0.553530325698
127.3338034621,128.0836193595,127.7087114108,512,0.002561370333,0.568925831708
128.0836193595,128.8334352569,128.4585273082,485,0.002426298069,0.584321337718
128.8334352569,129.5832511543,129.2083432056,423,0.002116132131,0.599716843729
129.5832511543,130.3330670518,129.9581591030,406,0.002031086631,0.615112349739
130.3330670518,131.0828829492,130.7079750005,339,0.001695907310,0.630507855750
131.0828829492,131.8326988466,131.4577908979,274,0.001370733342,0.645903361760
131.8326988466,132.5825147440,132.2076067953,275,0.001375736019,0.661298867771
132.5825147440,133.3323306414,132.9574226927,242,0.001210647697,0.676694373781
133.3323306414,134.0821465388,133.7072385901,203,0.001015543316,0.692089879791
134.0821465388,134.8319624363,134.4570544876,201,0.001005537963,0.707485385802
134.8319624363,135.5817783337,135.2068703850,191,0.000955511198,0.722880891812
135.5817783337,136.3315942311,135.9566862824,135,0.000675361318,0.738276397823
136.3315942311,137.0814101285,136.7065021798,147,0.000735393435,0.753671903833
137.0814101285,137.8312260259,137.4563180772,125,0.000625334554,0.769067409844
137.8312260259,138.5810419233,138.2061339746,116,0.000580310466,0.784462915854
138.5810419233,139.3308578208,138.9559498721,87,0.000435232850,0.799858421864
139.3308578208,140.0806737182,139.7057657695,78,0.000390208762,0.815253927875
140.0806737182,140.8304896156,140.4555816669,66,0.000330176645,0.830649433885
140.8304896156,141.5803055130,141.2053975643,63,0.000315168615,0.846044939896
141.5803055130,142.3301214104,141.9552134617,54,0.000270144527,0.861440445906
142.3301214104,143.0799373079,142.7050293591,55,0.000275147204,0.876835951917
143.0799373079,143.8297532053,143.4548452566,42,0.000210112410,0.892231457927
143.8297532053,144.5795691027,144.2046611540,25,0.000125066911,0.907626963937
144.5795691027,145.3293850001,144.9544770514,27,0.000135072264,0.923022469948
145.3293850001,146.0792008975,145.7042929488,27,0.000135072264,0.938417975958
146.0792008975,146.8290167949,146.4541088462,21,0.000105056205,0.953813481969
146.8290167949,147.5788326924,147.2039247436,22,0.000110058882,0.969208987979
147.5788326924,148.3286485898,147.9537406411,23,0.000115061558,0.984604493990
148.3286485898,149.0784644872,148.7035565385,17,0.000085045499,1.000000000000
